gene_id	AgedFemale-Brain-NoStim-13_S10_counts	AgedFemale-Brain-NoStim-14_S1_counts	AgedFemale-Brain-NoStim-15_S6_counts	AgedFemale-Brain-NoStim-16_S12_counts	AgedFemale-Brain-NoStim-17_S8_counts	AgedFemale-Brain-PlusStim-23_S11_counts	AgedFemale-Brain-PlusStim-24_S9_counts	AgedFemale-Brain-PlusStim-25_S5_counts	AgedFemale-Brain-PlusStim-26_S1_counts	AgedFemale-Brain-PlusStim-27_S8_counts	AgedMale-Brain-NoStim-10_S9_counts	AgedMale-Brain-NoStim-11_S10_counts	AgedMale-Brain-NoStim-12_S11_counts	AgedMale-Brain-NoStim-7_S6_counts	AgedMale-Brain-NoStim-8_S7_counts	AgedMale-Brain-NoStim-9_S8_counts	AgedMale-Brain-PlusStim-19_S4_counts	AgedMale-Brain-PlusStim-20_S3_counts	AgedMale-Brain-PlusStim-21_S7_counts	AgedMale-Brain-PlusStim-22_S2_counts	AgedMaleSpleenNoStim30_S10_counts	AgedMaleSpleenNoStim31_S7_counts	AgedMaleSpleenNoStim32_S12_counts	AgedMaleSpleenNoStim33_S3_counts	AgedMaleSpleenNoStim34_S4_counts	AgedMaleSpleenPlusStim36_S2_counts	AgedMaleSpleenPlusStim37_S6_counts	AgedMaleSpleenPlusStim38_S5_counts	AgedMaleSpleenPlusStim39_S9_counts	AgedMaleSpleenPlusStim40_S11_counts	YoungMale-Brain-NoStim-2_S1_counts	YoungMale-Brain-NoStim-3_S2_counts	YoungMale-Brain-NoStim-4_S3_counts	YoungMale-Brain-NoStim-5_S4_counts	YoungMale-Brain-NoStim-6_S5_counts
ENSMUSG00000031271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000031273	5	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000031274	0	0	0	0	0	0	0	0	0	0	188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000031278	955	2693	378	849	1123	50	89	265	0	0	3518	503	206	145	14	195	132	0	0	0	429	533	387	730	764	635	707	436	308	710	649	14	1898	755	2258
ENSMUSG00000031283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000031284	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000031285	0	0	0	0	0	0	1	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000031286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	8	9	0	6	0	19	9	1	39	0	0	0	0	0
ENSMUSG00000031289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000031290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000031292	24	136	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	11	18	17	61	2	7	23	16	7	7	0	0	0	25	0
ENSMUSG00000031293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000031294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000031295	157	226	295	0	45	0	0	119	70	0	211	45	122	5	170	1	0	0	0	0	143	106	97	195	114	115	45	65	98	6	489	1	0	940	209
ENSMUSG00000031297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	8	0	0	0	0	0	0	0	0
ENSMUSG00000031298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000031299	1736	477	249	410	1107	0	0	1310	0	135	1282	3427	4060	3313	112	32	222	0	1	0	759	829	984	1159	989	927	648	649	518	455	1246	4027	2708	447	1108
ENSMUSG00000031302	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	0	0	2	0	1	0	0	0	0	0	0
ENSMUSG00000031303	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	45	20	44	0	0	20	1	6	1	0	0	0	0	0
ENSMUSG00000031304	3151	3972	2799	3048	1936	977	248	341	235	99	3956	6203	5886	4882	1978	3907	0	234	0	0	2967	3161	3261	4645	3405	2567	3074	2272	1569	2880	3408	4229	1664	4053	4038
ENSMUSG00000031309	1028	843	37	228	2551	0	25	1	48	1	4153	650	2567	1348	66	139	0	0	1	0	1397	1351	1258	1576	1166	825	372	621	472	505	1311	3100	701	2578	2281
ENSMUSG00000031310	92	843	0	24	165	0	12	0	0	0	74	486	1	30	82	3	0	0	0	0	101	85	97	204	94	34	28	28	50	131	2	421	211	6	348
ENSMUSG00000031311	4936	3830	6013	1904	3289	442	748	605	559	52	5840	7163	7119	6326	3312	4838	1361	21	0	0	3823	3184	4056	6320	3774	3822	2300	2974	2162	2322	6995	6002	3573	7540	5721
ENSMUSG00000031312	7	0	0	0	0	0	0	0	0	0	1	0	405	3	0	2	0	0	0	0	23	2	18	0	1	0	7	0	0	11	1	0	0	0	0
ENSMUSG00000031314	2122	2757	1518	744	4572	0	1661	0	155	0	3419	5491	5382	3984	605	5835	589	0	0	0	1618	1415	1348	2783	1912	2311	1673	1400	1236	1961	3012	3725	3279	2827	3031
ENSMUSG00000031320	21224	45145	9731	27707	32113	4559	9591	4378	1836	86	55501	57106	77257	83235	47121	57784	24248	6143	1087	2730	22214	27831	28135	38141	26400	36423	26680	23405	15480	29698	47058	33829	34056	55973	35971
ENSMUSG00000031323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
